VERTEX = 140
226.0 468.0 250.0
238.0 468.0 270.8
262.0 468.0 270.8
274.0 468.0 250.0
262.0 468.0 229.2
238.0 468.0 229.2
226.0 468.0 250.0
149.0 424.0 250.0
199.5 424.0 337.5
300.5 424.0 337.5
351.0 424.0 250.0
300.5 424.0 162.5
199.5 424.0 162.5
149.0 424.0 250.0
93.0 404.0 250.0
171.5 404.0 386.0
328.5 404.0 386.0
407.0 404.0 250.0
328.5 404.0 114.0
171.5 404.0 114.0
93.0 404.0 250.0
66.0 380.0 250.0
158.0 380.0 409.3
342.0 380.0 409.3
434.0 380.0 250.0
342.0 380.0 90.7
158.0 380.0 90.7
66.0 380.0 250.0
65.0 354.0 250.0
157.5 354.0 410.2
342.5 354.0 410.2
435.0 354.0 250.0
342.5 354.0 89.8
157.5 354.0 89.8
65.0 354.0 250.0
79.0 328.0 250.0
164.5 328.0 398.1
335.5 328.0 398.1
421.0 328.0 250.0
335.5 328.0 101.9
164.5 328.0 101.9
79.0 328.0 250.0
115.0 312.0 250.0
182.5 312.0 366.9
317.5 312.0 366.9
385.0 312.0 250.0
317.5 312.0 133.1
182.5 312.0 133.1
115.0 312.0 250.0
157.0 296.0 250.0
203.5 296.0 330.5
296.5 296.0 330.5
343.0 296.0 250.0
296.5 296.0 169.5
203.5 296.0 169.5
157.0 296.0 250.0
194.0 278.0 250.0
222.0 278.0 298.5
278.0 278.0 298.5
306.0 278.0 250.0
278.0 278.0 201.5
222.0 278.0 201.5
194.0 278.0 250.0
222.0 257.0 250.0
236.0 257.0 274.2
264.0 257.0 274.2
278.0 257.0 250.0
264.0 257.0 225.8
236.0 257.0 225.8
222.0 257.0 250.0
227.0 240.0 250.0
238.5 240.0 269.9
261.5 240.0 269.9
273.0 240.0 250.0
261.5 240.0 230.1
238.5 240.0 230.1
227.0 240.0 250.0
226.0 203.0 250.0
238.0 203.0 270.8
262.0 203.0 270.8
274.0 203.0 250.0
262.0 203.0 229.2
238.0 203.0 229.2
226.0 203.0 250.0
221.0 183.0 250.0
235.5 183.0 275.1
264.5 183.0 275.1
279.0 183.0 250.0
264.5 183.0 224.9
235.5 183.0 224.9
221.0 183.0 250.0
226.0 159.0 250.0
238.0 159.0 270.8
262.0 159.0 270.8
274.0 159.0 250.0
262.0 159.0 229.2
238.0 159.0 229.2
226.0 159.0 250.0
228.0 150.0 250.0
239.0 150.0 269.1
261.0 150.0 269.1
272.0 150.0 250.0
261.0 150.0 230.9
239.0 150.0 230.9
228.0 150.0 250.0
229.0 130.0 250.0
239.5 130.0 268.2
260.5 130.0 268.2
271.0 130.0 250.0
260.5 130.0 231.8
